epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8017,2.18068,4.89885,1.58736,0.05002,0.04762,0.05181,0.0212,1.76606,4.15219,1.49071,7.777e-05,7.777e-05,7.777e-05
2,5.61975,2.06319,2.87695,1.41798,0.57228,0.48726,0.45493,0.24521,1.53778,2.7073,1.29817,0.000160051,0.000160051,0.000160051
3,7.91672,1.80567,1.85227,1.25598,0.55682,0.59604,0.5409,0.27625,1.58023,3.83899,1.29512,0.000235292,0.000235292,0.000235292
4,10.1642,1.73389,1.5261,1.18202,0.67217,0.5381,0.60058,0.29771,1.64567,1.95731,1.30436,0.000303494,0.000303494,0.000303494
5,11.6671,1.6702,1.38364,1.16119,0.753,0.6254,0.70974,0.37085,1.52209,1.62927,1.25403,0.000364657,0.000364657,0.000364657
6,13.7115,1.62797,1.3113,1.19247,0.64274,0.74209,0.7041,0.38076,1.49815,2.29356,1.27291,0.00041878,0.00041878,0.00041878
7,15.2673,1.59981,1.22784,1.14892,0.75197,0.75372,0.75541,0.39706,1.43686,1.77059,1.22107,0.000465865,0.000465865,0.000465865
8,16.7542,1.59264,1.15989,1.14458,0.71646,0.73422,0.73515,0.3995,1.44375,2.22926,1.24413,0.000505909,0.000505909,0.000505909
9,19.6275,1.53359,1.10506,1.12093,0.76693,0.74106,0.76303,0.40013,1.47093,1.67114,1.26097,0.000538915,0.000538915,0.000538915
10,23.0795,1.57423,1.09264,1.11916,0.76048,0.77462,0.7719,0.41055,1.48797,1.39598,1.24351,0.000564881,0.000564881,0.000564881
11,25.1094,1.53087,1.05019,1.12058,0.80393,0.80585,0.79013,0.45892,1.43885,1.28183,1.23766,0.000583808,0.000583808,0.000583808
12,26.8109,1.45501,1.02838,1.10613,0.80964,0.69858,0.7973,0.47144,1.39578,1.23503,1.21898,0.000595696,0.000595696,0.000595696
13,28.7229,1.54189,0.97295,1.12383,0.82644,0.74782,0.80703,0.4954,1.40588,1.29027,1.21216,0.000583053,0.000583053,0.000583053
14,30.5366,1.45162,0.92296,1.09072,0.72748,0.84631,0.81784,0.46949,1.45563,1.35864,1.23672,0.000539057,0.000539057,0.000539057
15,32.1123,1.45446,0.95381,1.08264,0.79404,0.83452,0.83451,0.46775,1.47736,1.21241,1.25003,0.000495062,0.000495062,0.000495062
16,36.5241,1.38,0.99165,1.04981,0.82012,0.81028,0.83351,0.46295,1.50496,1.14595,1.28112,0.000451066,0.000451066,0.000451066
17,39.5236,1.39463,0.91892,1.04687,0.84939,0.80675,0.84021,0.49756,1.44598,1.14434,1.25966,0.00040707,0.00040707,0.00040707
18,41.3259,1.34993,0.83242,1.04353,0.82594,0.80539,0.83427,0.51513,1.42717,1.18272,1.24419,0.000363075,0.000363075,0.000363075
19,42.8766,1.3338,0.8528,1.05256,0.76891,0.83553,0.82775,0.48558,1.45046,1.04892,1.24496,0.000319079,0.000319079,0.000319079
20,44.2492,1.29777,0.79894,1.00906,0.7707,0.82364,0.82379,0.49004,1.43746,0.9904,1.22196,0.000275084,0.000275084,0.000275084
21,45.5477,1.28953,0.80441,1.02829,0.83184,0.76781,0.8309,0.49499,1.40381,1.02349,1.19178,0.000231088,0.000231088,0.000231088
22,47.036,1.23314,0.75781,0.98714,0.89,0.8199,0.86089,0.50275,1.4037,0.98125,1.18609,0.000187092,0.000187092,0.000187092
23,50.9923,1.24179,0.72745,1.01618,0.85573,0.79764,0.83398,0.49432,1.39718,0.93567,1.18779,0.000143097,0.000143097,0.000143097
24,52.6007,1.18768,0.71948,0.98312,0.8026,0.80537,0.83137,0.49849,1.38705,0.91668,1.18225,9.91012e-05,9.91012e-05,9.91012e-05
25,54.1168,1.27335,0.73481,1.02794,0.80157,0.81056,0.82909,0.49859,1.37878,0.90323,1.17695,5.51056e-05,5.51056e-05,5.51056e-05
